Adult ,Child
0.779354396,0.606141414
0.681067821,0.85
0.705978188,0.4
0.755576898,0.434118263
0.539831392,0.611111111
0.675282939,0.457389163
0.519324713,0.75
0.33689693,0.555774226
0.849505979,0.384375
0.086507937,0.688372507
0.760952381,0.4
0.81,0.463888889
0.626190476,0.557299624
0.515407509,0.45
0.288444799,0.785714286
0.911363636,0.574074074
0.829761905,0.648636364
0.559280303,0.543055556
0.540503168,0.649525576
0.78018321,0.523184524
0.673630952,0.547802198
0.607562176,0.825490196
0.499315186,0.845187622
0.326345756,0.556746032
0.812079974,0.45761391
0.990833333,0.507745726
0.60972693,0.570291375
0.703493624,0.302083333
0.875488897,0.381944444
0.552222222,0.675480769
0.855721136,0.320833333
0.839434524,0.558238636
0.553917749,0.601388889
0.849465639,0.571927411
0.737681624,0.582487844
0.527268908,0.96
0.789045292,0.843055556
0.578478535,0.759821429
0.759049284,0.29789886
0.556112969,0.634285714
0.734020672,0.638888889
0.503617289,0.674107143
0.668268398,0.641666667
0.786182908,0.74125
0.880657543,0.586934046
0.55356685,0.352314815
0.665492763,0.786843591
0.683548051,0.66989011
0.361133658,0.779407577
0.591948485,0.623535501